date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:34	30/30	---M--	200	added ('OK')	text/plain	etag:%221e-59e52845650fe%22	https://valencitoh.com/robots.txt		(from )
19:40:34	30800/30800	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2022:40:34%20GMT	https://valencitoh.com/	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/index.html	(from )
19:40:34	6598/6598	---M-Z	200	added ('OK')	application/javascript	etag:%22586bae74cbc8ebd8311710b43498e381%22	https://valencitoh.com/cdn-cgi/apps/head/DwUGJh4C_xFZipsfcMciutFRpTg.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/cdn-cgi/apps/head/DwUGJh4C_xFZipsfcMciutFRpTg.js	(from https://valencitoh.com/)
19:40:34	107969/107969	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221a5c1-5997a639f5700%22	https://valencitoh.com/favicon.ico	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/favicon.ico	(from https://valencitoh.com/)
19:40:35	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eeb2f53-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://valencitoh.com/)
19:40:35	21606/21606	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jan%202020%2012:39:45%20GMT	https://valencitoh.com/drugs/	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/index.html	(from https://valencitoh.com/)
19:40:35	15739/15739	---MCZ	200	added ('OK')	text/css	etag:W/%224f94-5997a69d24100-gzip%22	https://valencitoh.com/drugs/assets/css/main.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/main.css	(from https://valencitoh.com/drugs/)
19:40:35	122217/122217	---M-Z	200	added ('OK')	text/css	etag:%221dd69-5997a69d24100-gzip%22	https://valencitoh.com/drugs/assets/css/bootstrap.min.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/bootstrap.min.css	(from https://valencitoh.com/drugs/)
19:40:35	129768/129768	---MCZ	200	added ('OK')	text/css	etag:W/%221fca7-5997a69f0c580-gzip%22	https://valencitoh.com/drugs/assets/css/vendor.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/vendor.css	(from https://valencitoh.com/drugs/)
19:40:36	102183/102183	---MCZ	200	added ('OK')	text/css	etag:W/%221e39f-5997a69d24100-gzip%22	https://valencitoh.com/drugs/assets/css/theme_black_red.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/theme_black_red.css	(from https://valencitoh.com/drugs/)
19:40:36	2379/2379	---MCZ	200	added ('OK')	text/css	etag:W/%22eb6-5997a69b3bc80-gzip%22	https://valencitoh.com/drugs/assets/css/custom.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/custom.css	(from https://valencitoh.com/drugs/)
19:40:36	4508/4508	---MCZ	200	added ('OK')	text/css	etag:W/%22119c-5997a69b3bc80-gzip%22	https://valencitoh.com/drugs/assets/css/demo.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/demo.css	(from https://valencitoh.com/drugs/)
19:40:36	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://valencitoh.com/drugs/)
19:40:36	441/441	---MCZ	200	added ('OK')	text/css	etag:W/%22213-5997a69b3bc80-gzip%22	https://valencitoh.com/drugs/assets/css/animation.css	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/css/animation.css	(from https://valencitoh.com/drugs/)
19:40:37	15518/15518	---M-Z	200	added ('OK')	application/javascript	etag:%223c9e-5997a6a2dce80-gzip%22	https://valencitoh.com/drugs/assets/js/vendor/modernizr-2.8.3.min.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/js/vendor/modernizr-2.8.3.min.js	(from https://valencitoh.com/drugs/)
19:40:37	2733/2733	---M-Z	200	added ('OK')	application/javascript	etag:%22aad-5997a6a4c5300-gzip%22	https://valencitoh.com/drugs/assets/js/vendor/html5shiv.min.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/assets/js/vendor/html5shiv.min.js	(from https://valencitoh.com/drugs/)
19:40:37	340144/340144	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253643-5997a6939aa80-gzip%22	https://valencitoh.com/drugs/build/Three.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/build/Three.js	(from https://valencitoh.com/drugs/)
19:40:37	1465/1465	---MCZ	200	added ('OK')	application/javascript	etag:W/%22742-5997a6976b380-gzip%22	https://valencitoh.com/drugs/js/Detector.js	C:/Mis%20lugares%20Web/MAAAAAAAAAAAT/valencitoh.com/drugs/js/Detector.js	(from https://valencitoh.com/drugs/)
